CODIGO;DESCRICAO
2865800;Fabricaçăo de máquinas e equipamentos para as indústrias de celulose, papel e papelăo e artefatos, peças e acessórios
2866600;Fabricaçăo de máquinas e equipamentos para a indústria do plástico, peças e acessórios
2869100;Fabricaçăo de máquinas e equipamentos para uso industrial específico năo especificados anteriormente, peças e acessórios
2910701;Fabricaçăo de automóveis, camionetas e utilitários
2910702;Fabricaçăo de chassis com motor para automóveis, camionetas e utilitários
2910703;Fabricaçăo de motores para automóveis, camionetas e utilitários
2920401;Fabricaçăo de caminhőes e ônibus
2920402;Fabricaçăo de motores para caminhőes e ônibus
2930101;Fabricaçăo de cabines, carrocerias e reboques para caminhőes
2930102;Fabricaçăo de carrocerias para ônibus
2930103;Fabricaçăo de cabines, carrocerias e reboques para outros veículos automotores, exceto caminhőes e ônibus
2941700;Fabricaçăo de peças e acessórios para o sistema motor de veículos automotores
2942500;Fabricaçăo de peças e acessórios para os sistemas de marcha e transmissăo de veículos automotores
2943300;Fabricaçăo de peças e acessórios para o sistema de freios de veículos automotores
2944100;Fabricaçăo de peças e acessórios para o sistema de direçăo e suspensăo de veículos automotores
2945000;Fabricaçăo de material elétrico e eletrônico para veículos automotores, exceto baterias
2949201;Fabricaçăo de bancos e estofados para veículos automotores
2949299;Fabricaçăo de outras peças e acessórios para veículos automotores năo especificadas anteriormente
2950600;Recondicionamento e recuperaçăo de motores para veículos automotores
